analysis,n,static_raw_r,dynamic_raw_r,peak_to_peak_raw_r,delta_r_observed,delta_r_ci_low,delta_r_ci_high,delta_r_p_two_sided,delta_calibrated_mae_vs_p2p_observed,delta_calibrated_mae_vs_p2p_ci_low,delta_calibrated_mae_vs_p2p_ci_high,delta_calibrated_mae_vs_p2p_p_two_sided
primary,152,0.0382069776180054,0.4355133047209496,0.2027574114761048,0.3973063271029442,0.2076008619932693,0.5713139758914982,0.0,-0.3958684986302243,-0.784713771347188,-0.0068219234449913,0.0442
complete_geometry,148,0.0416912046465806,0.4361181344454363,0.2062898005696546,0.3944269297988557,0.2048284246435373,0.573128391022726,0.0,-0.3595566336624642,-0.7476163678184361,0.0252409189500576,0.0678
physiologic,148,0.0722360882076248,0.4229813177102811,0.2026886460028254,0.3507452295026563,0.1834011994891327,0.5163314234261481,0.0,-0.3428977246895952,-0.7158240119040759,0.0217441348752198,0.0674
exclude_five_reannotated,147,0.0671275372277021,0.4409333183695546,0.2327078357185944,0.3738057811418525,0.184038769431377,0.5546307234250336,0.0,-0.3986126027483898,-0.7940316646451935,-0.0146444475816616,0.0422
