method,stage,n,mean_prediction_ef,prediction_sd,full_sample_calibration_slope,full_sample_calibration_intercept,bias,bias_ci_low,bias_ci_high,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high,loa_low,loa_high,within10_n,within10_pct,within10_ci_low_pct,within10_ci_high_pct,pearson_r,pearson_ci_low,pearson_ci_high
static,raw,152,62.802338443658755,9.19568296977072,0.029320798469447275,57.114758692399256,3.846165042342971,2.0190988022892125,5.57653417773591,9.507875952943408,8.399415952240535,10.693408009237173,11.972636652382354,10.494698552159083,13.530647295408185,-18.449847180927108,26.14217726561305,88,57.89473684210526,49.94603789785607,65.45422861762462,0.03820697761800541,-0.12173418194222062,0.1962141915061361
static,loocv,152,58.94306467663923,0.3535441694853463,0.029320798469447275,57.114758692399256,-0.013108724676563427,-1.1437232247811076,1.1316090961499656,5.610474138285427,4.920984511791921,6.323078513050888,7.1349168032035415,6.315123519154707,7.931181158665879,-14.043751648086593,14.017534198733467,122,80.26315789473684,73.22390867806693,85.81044629794242,-0.2642238341598217,-0.4063323214622433,-0.10963488184377666
dynamic,raw,152,73.72094511140598,6.2016505996753235,0.4955771018978543,22.42176107383446,14.764771710090198,13.615552082757498,15.921203525346801,14.87184374168916,13.769477324538947,16.003035529077316,16.364882535746943,15.266806329408492,17.49498645223747,0.8859827507568081,28.643560669423586,38,25.0,18.789963939741583,32.44252542790286,0.4355133047209496,0.2968977160950293,0.5561536371420299
dynamic,loocv,152,58.96267927898577,3.0760599654454026,0.4955771018978543,22.42176107383446,0.006505877669986553,-0.9978104693931159,1.0383309726996348,5.110653623678869,4.489979087294184,5.724981855065226,6.423516204555831,5.679916409700567,7.134535590159192,-12.62519965597542,12.638211411315394,137,90.13157894736842,84.35658434289756,93.92810377746265,0.408334522657445,0.2664553196850267,0.5328933505536609
peak_to_peak,raw,152,70.56542060640051,6.890710762581472,0.20764898681988622,44.303335307877596,11.60924720508472,10.213968661244097,13.011427177922675,12.662590847614382,11.537652678551046,13.812803921820615,14.554300140076544,13.340947359292102,15.788834646953497,-5.6524803480603865,28.870974758229828,58,38.1578947368421,30.81744117691877,46.082159049860174,0.2027574114761048,0.04500957924083784,0.35063976944413766
peak_to_peak,loocv,152,58.94808328814338,1.468047226593653,0.20764898681988622,44.303335307877596,-0.008090113172405355,-1.1423639056069237,1.0985672519556553,5.506522122309093,4.833607716357108,6.209824096349757,7.009034681823876,6.179331629202393,7.833143370871578,-13.791202942647898,13.775022716303086,128,84.21052631578948,77.58049499568223,89.15399323806744,0.12084419847025037,-0.039108899299732894,0.2747589554110448
mean_only,loocv,152,58.956173401315795,0.04673477452888886,,,3.5059674461847047e-15,-1.1373089675496653,1.1456369725165596,5.578627527187173,4.892681992848118,6.288106116741461,7.08027978097665,6.265917680624006,7.8732094882292225,-13.923224027646526,13.923224027646533,124,81.57894736842105,74.66466374702757,86.93640231489522,-0.9999999999999993,-0.9999999999999996,-0.9999999999999991
