analysis_source,method,metric,unit,n,reader01_mean,reader02_mean,reader03_mean,icc_a1_absolute_single,icc_a1_ci_low,icc_a1_ci_high,icc_a1_interpretation,icc_a3_absolute_average,icc_a3_ci_low,icc_a3_ci_high,bootstrap_reps,value_definition
reannotated_primary,static,lvidd,cm,152,4.02141011009667,4.056372516111708,4.070579350161117,0.8521922151787789,0.7853326615492371,0.8968835103584863,good,0.9453451280217292,0.9164934706700765,0.9630905194037598,10000,reader-specific linear dimension
reannotated_primary,static,lvids,cm,152,2.793773496240602,2.6336399033297533,2.5288047126745434,0.47593817656699244,0.33596449044848714,0.5952092351079764,poor,0.7315086979810173,0.6028327034609169,0.815199346383308,10000,reader-specific linear dimension
reannotated_primary,static,lvef,percentage points,152,56.483535143484595,63.915205060300686,68.00827512719101,0.08926814226641924,-0.008773298972138646,0.21871739605194687,poor,0.22723477445194915,-0.026789970509298933,0.45647440156245267,10000,"reader-specific Teichholz LVEF, then arithmetic mean across 3 readers"
reannotated_primary,dynamic,lvidd,cm,152,4.02141011009667,4.056372516111708,4.070579350161117,0.8521922151787789,0.7853326615492371,0.8968835103584863,good,0.9453451280217292,0.9164934706700765,0.9630905194037598,10000,reader-specific static ED diameter shared by static and dynamic strategies
reannotated_primary,dynamic,lvids,cm,152,2.3169592508055854,2.3375436358754027,2.306916957572503,0.7737980260383098,0.698531668826678,0.8323751286402014,good,0.9112096386798423,0.8742343072115297,0.9370954666755931,10000,reader-specific linear dimension
reannotated_primary,dynamic,lvef,percentage points,152,73.35981544045637,73.39768884229466,74.40533105146692,0.43794375117286183,0.30755557228606784,0.5576374633399294,poor,0.7003784885158045,0.5712713456011504,0.7908723206112478,10000,"reader-specific Teichholz LVEF, then arithmetic mean across 3 readers"
reannotated_primary,peak_to_peak,lvidd,cm,152,4.021514164876476,4.0441360096670245,3.990858284103115,0.8699972944905914,0.8227313937068921,0.9031911583909743,good,0.952553663415172,0.9329914572464931,0.9655040437539298,10000,reader-specific linear dimension
reannotated_primary,peak_to_peak,lvids,cm,152,2.5207270408163267,2.2858938641245974,2.419352510741138,0.6794496348907145,0.6077197025936534,0.7384064847166553,moderate,0.8641101935908493,0.8229334115392832,0.8943830160437463,10000,reader-specific linear dimension
reannotated_primary,peak_to_peak,lvef,percentage points,152,66.9351633312704,74.69707583081926,70.06402265711188,0.3477986393738891,0.24576967573899336,0.4430545357708661,poor,0.6153559758554398,0.49432757269226674,0.7047119529654269,10000,"reader-specific Teichholz LVEF, then arithmetic mean across 3 readers"
